date,original_close,train_predicted_close,test_predicted_close
2021-06-23,33678.64,,
2021-06-24,34649.84,,
2021-06-25,31593.86,,
2021-06-26,32307.35,,
2021-06-27,34713.81,,
2021-06-28,34487.11,,
2021-06-29,35901.41,,
2021-06-30,35056.39,,
2021-07-01,33543.11,,
2021-07-02,33804.54,,
2021-07-03,34682.84,,
2021-07-04,35287.97,,
2021-07-05,33702.79,,
2021-07-06,34237.66,,
2021-07-07,33880.79,,
2021-07-08,32874.01,34910.109375,
2021-07-09,33804.2,34455.78515625,
2021-07-10,33515.13,34496.32421875,
2021-07-11,34249.3,34401.99609375,
2021-07-12,33088.51,34611.83984375,
2021-07-13,32737.47,34343.53125,
2021-07-14,32820.5,34069.4453125,
2021-07-15,31867.46,33928.7421875,
2021-07-16,31401.76,33508.72265625,
2021-07-17,31546.64,33079.6796875,
2021-07-18,31806.3,32854.63671875,
2021-07-19,30847.55,32799.015625,
2021-07-20,29795.55,32447.05078125,
2021-07-21,32139.48,31891.09375,
2021-07-22,32299.47,32321.318359375,
2021-07-23,33637.92,32651.58984375,
2021-07-24,34282.56,33345.20703125,
2021-07-25,35369.93,34033.86328125,
2021-07-26,37269.52,34878.046875,
2021-07-27,39496.69,36098.5625,
2021-07-28,40030.01,37684.92578125,
2021-07-29,40030.52,38905.16015625,
2021-07-30,42231.83,39699.1796875,
2021-07-31,41474.72,41012.53515625,
2021-08-01,39870.76,41501.96875,
2021-08-02,39158.53,41171.69140625,
2021-08-03,38189.3,40646.68359375,
2021-08-04,39738.56,39873.96875,
2021-08-05,40888.18,39910.09375,
2021-08-06,42852.18,40325.50390625,
2021-08-07,44617.96,41344.7109375,
2021-08-08,43827.75,42700.7578125,
2021-08-09,46292.61,43274.640625,
2021-08-10,45601.03,44673.33203125,
2021-08-11,45556.69,45243.69140625,
2021-08-12,44425.52,45585.15625,
2021-08-13,47832.93,45284.76171875,
2021-08-14,47102.03,46446.0625,
2021-08-15,47015.94,46795.359375,
2021-08-16,45927.4,46969.17578125,
2021-08-17,44684.43,46600.328125,
2021-08-18,44714.54,45815.04296875,
2021-08-19,46761.49,45310.9765625,
2021-08-20,49336.45,45807.96484375,
2021-08-21,48867.87,47179.77734375,
2021-08-22,49289.71,47850.71875,
2021-08-23,49521.06,48505.37890625,
2021-08-24,47690.54,49017.515625,
2021-08-25,48996.44,48532.359375,
2021-08-26,46852.22,48778.171875,
2021-08-27,49088.1,47915.91015625,
2021-08-28,48918.9,48346.1015625,
2021-08-29,48794.26,48475.59375,
2021-08-30,46993.31,48519.33984375,
2021-08-31,47159.26,47774.15625,
2021-09-01,48840.01,47401.23828125,
2021-09-02,49280.77,47858.71484375,
2021-09-03,50019.51,48318.79296875,
2021-09-04,49935.29,48956.4296875,
2021-09-05,51784.16,49333.92578125,
2021-09-06,52693.32,50398.2109375,
2021-09-07,46856.31,51443.296875,
2021-09-08,46073.45,49494.1484375,
2021-09-09,46392.85,47988.73046875,
2021-09-10,44853.1,47114.3828125,
2021-09-11,45166.12,45847.60546875,
2021-09-12,46049.72,45231.26171875,
2021-09-13,44958.56,45240.8515625,
2021-09-14,47129.01,44832.3046875,
2021-09-15,48148.45,45573.98046875,
2021-09-16,47764.47,46504.50390625,
2021-09-17,47297.98,46982.89453125,
2021-09-18,48312.46,47115.41796875,
2021-09-19,47251.76,47644.00390625,
2021-09-20,42925.46,47489.4296875,
2021-09-21,40709.59,45561.0859375,
2021-09-22,43576.15,43478.3515625,
2021-09-23,44893.87,43306.83984375,
2021-09-24,42848.41,43674.1640625,
2021-09-25,42721.91,43106.0859375,
2021-09-26,43201.79,42792.6953125,
2021-09-27,42187.51,42838.54296875,
2021-09-28,41056.79,42484.2265625,
2021-09-29,41539.43,41859.55078125,
2021-09-30,43829.34,41690.48828125,
2021-10-01,48164.35,42482.078125,
2021-10-02,47669.02,44745.453125,
2021-10-03,48234.05,45991.5078125,
2021-10-04,49276.91,47097.3359375,
2021-10-05,51504.27,48230.58203125,
2021-10-06,55345.85,49857.54296875,
2021-10-07,53797.21,52498.65234375,
2021-10-08,53949.29,53395.29296875,
2021-10-09,54968.04,54005.37109375,
2021-10-10,54700.24,54750.77734375,
2021-10-11,57498.8,54967.61328125,
2021-10-12,56010.9,56307.296875,
2021-10-13,57369.0,56336.8984375,
2021-10-14,57359.21,56924.09765625,
2021-10-15,61684.96,57208.6328125,
2021-10-16,60877.77,59421.72265625,
2021-10-17,61520.54,60290.3203125,
2021-10-18,62038.16,61116.6953125,
2021-10-19,64283.97,61814.15625,
2021-10-20,66021.02,63250.16796875,
2021-10-21,62283.96,64894.234375,
2021-10-22,60693.59,63882.19921875,
2021-10-23,61313.09,62415.7734375,
2021-10-24,60863.56,61680.234375,
2021-10-25,63089.04,60872.484375,
2021-10-26,60315.68,61480.8828125,
2021-10-27,58464.42,60416.20703125,
2021-10-28,60610.11,58917.92578125,
2021-10-29,62282.5,59148.921875,
2021-10-30,61891.91,60112.23046875,
2021-10-31,61349.75,60553.52734375,
2021-11-01,60960.98,60589.52734375,
2021-11-02,63260.05,60440.2421875,
2021-11-03,62929.93,61580.74609375,
2021-11-04,61448.47,62044.203125,
2021-11-05,61019.66,61565.6328125,
2021-11-06,61529.76,61021.98828125,
2021-11-07,63302.78,60929.96484375,
2021-11-08,67549.14,61758.0078125,
2021-11-09,66939.24,64433.71875,
2021-11-10,64926.06,65702.2109375,
2021-11-11,64820.8,65434.9921875,
2021-11-12,64156.3,65177.03515625,
2021-11-13,64409.56,64523.9609375,
2021-11-14,65509.06,64153.51953125,
2021-11-15,63614.06,64410.78515625,
2021-11-16,60108.9,63567.09765625,
2021-11-17,60365.6,61222.203125,
2021-11-18,56930.68,60028.7734375,
2021-11-19,58136.22,57506.04296875,
2021-11-20,59769.66,56724.078125,
2021-11-21,58700.83,57135.34375,
2021-11-22,56303.06,56963.45703125,
2021-11-23,57566.6,55878.09765625,
2021-11-24,57175.09,56035.6484375,
2021-11-25,58966.99,55995.84375,
2021-11-26,53788.22,56910.44921875,
2021-11-27,54805.03,54963.17578125,
2021-11-28,57331.41,54387.03515625,
2021-11-29,57839.55,55287.26953125,
2021-11-30,56975.35,56098.3515625,
2021-12-01,57227.97,56231.87890625,
2021-12-02,56522.76,56480.78515625,
2021-12-03,53663.25,56294.5703125,
2021-12-04,49243.39,54824.19140625,
2021-12-05,49465.5,51850.1171875,
